x,y,level,type
80,8,60,油
80,53,68,硅
80,57,58,硅
80,60,60,宝
80,62,58,硅
80,64,58,油
80,81,58,硅
80,92,58,铜
80,112,60,铁
80,126,58,铜
80,134,60,宝
80,177,60,铜
80,275,60,油
80,278,58,硅
80,336,60,铜
80,373,58,油
80,374,58,铁
80,387,58,油
80,460,60,铁
80,530,60,宝
80,564,62,
80,584,60,铜
80,587,60,硅
80,592,60,油
81,4,58,铜
81,34,60,宝
81,83,60,铁
81,109,58,油
81,117,58,油
81,118,58,宝
81,142,60,铜
81,145,60,油
81,147,58,铜
81,148,58,宝
81,165,58,铁
81,197,60,油
81,199,60,硅
81,216,58,硅
81,218,58,铜
81,219,60,硅
81,230,60,铁
81,235,60,铁
81,284,60,油
81,301,58,硅
81,304,60,宝
81,377,60,油
81,436,58,铁
81,437,60,铜
81,483,60,宝
81,578,58,油
81,597,60,宝
82,21,60,铜
82,39,58,油
82,46,58,油
82,82,60,铜
82,86,58,油
82,103,58,宝
82,137,60,硅
82,190,60,铜
82,242,60,硅
82,489,60,硅
82,528,58,宝
82,549,58,宝
82,565,58,硅
82,571,58,铁
83,39,60,铜
83,47,60,硅
83,62,62,
83,86,60,硅
83,166,60,铁
83,184,60,油
83,231,60,铜
83,242,60,铁
83,243,58,铜
83,283,58,宝
83,286,58,铁
83,321,58,硅
83,360,60,宝
83,368,58,铜
83,386,58,硅
83,417,58,铁
83,456,60,铜
83,479,58,宝
83,484,58,油
83,486,60,硅
83,503,58,铁
83,527,60,宝
83,530,60,宝
83,536,58,硅
84,67,60,硅
84,115,60,铁
84,185,58,铜
84,235,60,铜
84,256,58,硅
84,301,58,宝
84,302,58,宝
84,347,58,油
84,385,60,铜
84,390,58,油
84,392,58,铁
84,396,60,铜
84,474,60,铁
84,555,58,宝
84,560,60,硅
85,11,60,铁
85,53,60,铁
85,63,60,油
85,107,60,铁
85,110,60,油
85,124,58,硅
85,141,58,宝
85,208,60,油
85,235,60,油
85,250,58,铁
85,305,60,油
85,315,60,宝
85,317,60,铁
85,338,60,硅
85,342,60,宝
85,415,60,铁
85,423,58,油
85,456,58,铜
85,469,60,铁
85,471,58,铜
85,480,58,铜
85,481,60,铁
85,515,58,油
85,533,60,铜
85,543,60,铁
85,547,58,铜
85,590,58,宝
86,3,58,油
86,4,60,铁
86,17,58,铁
86,54,60,硅
86,60,58,铁
86,82,60,宝
86,100,58,铜
86,141,58,硅
86,145,58,油
86,153,60,铜
86,169,58,油
86,206,58,铁
86,295,62,硅
86,309,60,铁
86,317,60,铜
86,359,58,油
86,382,58,宝
86,397,60,宝
86,413,60,宝
86,438,58,油
86,470,58,铜
86,478,58,硅
86,532,60,铜
86,557,60,铁
87,6,58,铁
87,15,60,铁
87,101,58,宝
87,118,58,铁
87,131,58,宝
87,133,60,硅
87,165,58,铁
87,193,60,油
87,204,58,宝
87,212,60,铜
87,291,60,铁
87,293,60,铁
87,301,58,铁
87,308,58,宝
87,338,58,铁
87,343,58,铁
87,353,58,铁
87,365,60,宝
87,411,60,铜
87,418,60,硅
87,469,58,铁
87,520,60,油
87,548,58,油
87,551,58,铁
87,594,60,油
88,45,58,硅
88,106,60,铜
88,209,60,硅
88,246,60,铜
88,280,58,铁
88,363,58,铜
88,443,58,油
88,446,60,油
88,449,60,硅
88,455,58,硅
88,525,58,油
88,545,58,硅
89,16,60,铁
89,18,60,油
89,50,58,油
89,74,58,铜
89,120,60,铁
89,126,60,硅
89,160,58,铁
89,169,58,宝
89,173,58,油
89,189,62,
89,192,60,硅
89,232,60,油
89,237,58,硅
89,261,58,铁
89,262,58,油
89,288,60,油
89,292,60,宝
89,314,58,宝
89,356,60,铁
89,469,60,油
89,527,60,铜
